yahoo_symbol,Scheme Name,AMC,Plan,Option
0P0001RSDE.BO,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Bajaj Finserv Mutual Fund,Direct,IDCW
0P0001RRC9.BO,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Bajaj Finserv Mutual Fund,Regular,Growth
0P0001RSDF.BO,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Bajaj Finserv Mutual Fund,Regular,IDCW
0P0001RRC5.BO,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Bajaj Finserv Mutual Fund,Unknown,Growth
0P0001RRCA.BO,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,Bajaj Finserv Mutual Fund,Unknown,Unknown
0P0001J83X.BO,Bandhan Banking and PSU Fund - Direct Annual IDCW,Bandhan Mutual Fund,Direct,IDCW
,Bandhan Banking and PSU Fund - Direct Daily IDCW,Bandhan Mutual Fund,Direct,IDCW
,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P0000Y7XV.BO,Bandhan Banking and PSU Fund - Direct Growth,Bandhan Mutual Fund,Direct,Growth
0P0000Y7XW.BO,Bandhan Banking and PSU Fund - Direct IDCW,Bandhan Mutual Fund,Direct,IDCW
,Bandhan Banking and PSU Fund - Direct Monthly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P00012OOS.BO,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P00012M99.BO,Bandhan Banking and PSU Fund - Regular Annual IDCW,Bandhan Mutual Fund,Regular,IDCW
,Bandhan Banking and PSU Fund - Regular Daily IDCW,Bandhan Mutual Fund,Regular,IDCW
,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0000Y7XT.BO,Bandhan Banking and PSU Fund - Regular Growth,Bandhan Mutual Fund,Regular,Growth
0P0000Y7XU.BO,Bandhan Banking and PSU Fund - Regular IDCW,Bandhan Mutual Fund,Regular,IDCW
,Bandhan Banking and PSU Fund - Regular Monthly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0000YCH8.BO,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0001PHEG.BO,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Canara Robeco Mutual Fund,Direct,Growth
0P0001PHEF.BO,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Canara Robeco Mutual Fund,Direct,IDCW
0P0001PHED.BO,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Canara Robeco Mutual Fund,Regular,Growth
0P0001PHEC.BO,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Canara Robeco Mutual Fund,Regular,IDCW
0P0000ZKLR.BO,DSP Banking & PSU Debt Fund - Direct Plan - Growth,DSP Mutual Fund,Direct,Growth
0P0000ZKLX.BO,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,DSP Mutual Fund,Direct,IDCW
,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,DSP Mutual Fund,Direct,IDCW
0P0000ZKLV.BO,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,DSP Mutual Fund,Direct,IDCW
0P0000ZKLW.BO,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,DSP Mutual Fund,Direct,IDCW
,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,DSP Mutual Fund,Direct,IDCW
0P0000ZKLL.BO,DSP Banking & PSU Debt Fund - Regular Plan - Growth,DSP Mutual Fund,Regular,Growth
0P0000ZKLQ.BO,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,DSP Mutual Fund,Regular,IDCW
,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,DSP Mutual Fund,Regular,IDCW
0P0000ZKLO.BO,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,DSP Mutual Fund,Regular,IDCW
0P0000ZKLP.BO,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,DSP Mutual Fund,Regular,IDCW
0P0001MS9G.BO,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,DSP Mutual Fund,Regular,IDCW
0P0000ZK6O.BO,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Unknown,Direct,Growth
0P0001CHCB.BO,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,Unknown,Direct,IDCW
0P0001GZMA.BO,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,Unknown,Direct,IDCW
0P0000ZKJT.BO,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,Unknown,Direct,IDCW
0P0001BA1F.BO,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,Unknown,Direct,IDCW
0P0000ZK6M.BO,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,Unknown,Regular,Growth
0P0000ZK6N.BO,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,Unknown,Regular,IDCW
0P0000ZK6R.BO,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,Unknown,Regular,IDCW
0P00012NRR.BO,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,Unknown,Regular,IDCW
0P0001BA1D.BO,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,Unknown,Regular,IDCW
0P00012U47.BO,Franklin India Banking & PSU Debt Fund - Direct - Growth,Franklin Templeton Mutual Fund,Direct,Growth
0P00012U43.BO,Franklin India Banking & PSU Debt Fund - Growth,Franklin Templeton Mutual Fund,Unknown,Growth
0P00012U48.BO,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,Franklin Templeton Mutual Fund,Direct,IDCW
0P00012U45.BO,Franklin India Banking and PSU Debt Fund - IDCW ,Franklin Templeton Mutual Fund,Unknown,IDCW
0P00012KBO.BO,HDFC Banking and PSU Debt Fund - Growth Option,HDFC Mutual Fund,Unknown,Growth
0P00012KBM.BO,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Direct,Growth
0P00012KBN.BO,HDFC Banking and PSU Debt Fund - IDCW Option,HDFC Mutual Fund,Unknown,IDCW
0P00012KBL.BO,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Direct,IDCW
,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,HSBC Mutual Fund,Direct,IDCW
0P0000XV7P.BO,HSBC Banking and PSU Debt Fund - Direct Growth,HSBC Mutual Fund,Direct,Growth
0P0000XV7V.BO,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,HSBC Mutual Fund,Direct,IDCW
,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,HSBC Mutual Fund,Direct,IDCW
,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,HSBC Mutual Fund,Regular,IDCW
0P0000CNZB.BO,HSBC Banking and PSU Debt Fund - Regular Growth,HSBC Mutual Fund,Regular,Growth
0P0000CNZM.BO,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,HSBC Mutual Fund,Regular,IDCW
,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,HSBC Mutual Fund,Regular,IDCW
,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Banking and PSU Debt Fund - Bonus,ICICI Prudential Mutual Fund,Unknown,Unknown
,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
0P0000YF56.BO,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Direct,Growth
0P0000Z8L5.BO,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,ICICI Prudential Mutual Fund,Direct,IDCW
,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,ICICI Prudential Mutual Fund,Direct,Unknown
,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,ICICI Prudential Mutual Fund,Direct,IDCW
0P0000N74P.BO,ICICI Prudential Banking and PSU Debt Fund - Growth,ICICI Prudential Mutual Fund,Unknown,Growth
0P0000YR3X.BO,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,ICICI Prudential Mutual Fund,Unknown,IDCW
,ICICI Prudential Banking and PSU Debt Fund Retail Growth,ICICI Prudential Mutual Fund,Unknown,Growth
,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,ICICI Prudential Mutual Fund,Unknown,IDCW
0P0000XWAW.BO,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Unknown,Direct,Growth
,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),Unknown,Direct,IDCW
0P0000XVGL.BO,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Unknown,Direct,IDCW
,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),Unknown,Regular,IDCW
0P0000XUCZ.BO,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,Unknown,Regular,Growth
0P0000XUM6.BO,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Unknown,Regular,IDCW
0P0001KSS8.BO,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,Unknown,Direct,Growth
0P0001KSS9.BO,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,Unknown,Direct,IDCW
0P0001KSSB.BO,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,Unknown,Regular,Growth
0P0001KSSC.BO,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,Unknown,Regular,IDCW
0P00005WTV.BO,Kotak Banking and PSU Debt - Growth,Kotak Mahindra Mutual Fund,Unknown,Growth
0P00005WTW.BO,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Unknown,IDCW
,Kotak Banking and PSU Debt Direct - Annual Dividend,Kotak Mahindra Mutual Fund,Direct,IDCW
0P0000XV68.BO,Kotak Banking and PSU Debt Direct - Growth,Kotak Mahindra Mutual Fund,Direct,Growth
0P0000XXY6.BO,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,Kotak Mahindra Mutual Fund,Direct,IDCW
0P0000XX0I.BO,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,LIC Mutual Fund,Unknown,IDCW
0P0000XV94.BO,LIC MF Banking & PSU Fund-Direct Plan-Growth,LIC Mutual Fund,Unknown,Unknown
0P0000XYEA.BO,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,LIC Mutual Fund,Unknown,IDCW
0P0000XYE9.BO,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,LIC Mutual Fund,Unknown,IDCW
0P00009JCJ.BO,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,LIC Mutual Fund,Unknown,IDCW
0P00009JE2.BO,LIC MF Banking & PSU Fund-Regular Plan-Growth,LIC Mutual Fund,Unknown,Unknown
0P00009JE4.BO,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,LIC Mutual Fund,Unknown,IDCW
0P00009JE5.BO,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,LIC Mutual Fund,Unknown,IDCW
0P0001KAGP.BO,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Direct,Growth
0P0001KAGQ.BO,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,Mirae Asset Mutual Fund,Direct,IDCW
0P0001KAGS.BO,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,Mirae Asset Mutual Fund,Regular,Growth
0P0001KAGT.BO,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,Mirae Asset Mutual Fund,Regular,IDCW
0P0001624H.BO,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,Nippon India Mutual Fund,Direct,IDCW
0P0001624C.BO,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,Nippon India Mutual Fund,Unknown,IDCW
0P0001624F.BO,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,Nippon India Mutual Fund,Direct,Growth
0P0001624J.BO,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,Nippon India Mutual Fund,Direct,IDCW
0P0001624K.BO,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,Nippon India Mutual Fund,Direct,IDCW
0P0001624I.BO,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,Nippon India Mutual Fund,Direct,IDCW
0P0001624B.BO,NIPPON INDIA BANKING and PSU FUND - IDCW Option,Nippon India Mutual Fund,Unknown,IDCW
0P0001624D.BO,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,Nippon India Mutual Fund,Unknown,IDCW
0P0001624E.BO,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,Nippon India Mutual Fund,Unknown,IDCW
0P0001624G.BO,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Nippon India Mutual Fund,Direct,Unknown
,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,Nippon India Mutual Fund,Unknown,Growth
0P00016249.BO,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,Nippon India Mutual Fund,Unknown,Growth
,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Direct,IDCW
0P0000XW1F.BO,SBI BANKING & PSU FUND - Direct Plan - Growth,SBI Mutual Fund,Direct,Growth
0P0001472H.BO,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Direct,IDCW
0P00013OT5.BO,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Direct,IDCW
0P0000M5L4.BO,SBI BANKING & PSU FUND - Regular Paln - Growth,SBI Mutual Fund,Regular,Growth
,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Regular,IDCW
0P0000M5LY.BO,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Regular,IDCW
0P0000M5LV.BO,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),SBI Mutual Fund,Regular,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,Sundaram Mutual Fund,Direct,Growth
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,Sundaram Mutual Fund,Direct,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,Sundaram Mutual Fund,Direct,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,Sundaram Mutual Fund,Regular,Unknown
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,Sundaram Mutual Fund,Regular,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,Sundaram Mutual Fund,Regular,Growth
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,Sundaram Mutual Fund,Regular,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,Sundaram Mutual Fund,Regular,Unknown
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,Sundaram Mutual Fund,Regular,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,Sundaram Mutual Fund,Regular,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,Sundaram Mutual Fund,Direct,Unknown
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Direct,IDCW
0P0000XVMI.BO,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,Sundaram Mutual Fund,Direct,Growth
0P0000XVMF.BO,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Direct,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,Sundaram Mutual Fund,Regular,Unknown
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Regular,IDCW
0P00005WGF.BO,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,Sundaram Mutual Fund,Regular,Growth
0P00005WGG.BO,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Regular,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Regular,IDCW
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,Sundaram Mutual Fund,Unknown,Growth
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Unknown,IDCW
0P000197TJ.BO,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,UTI Mutual Fund,Direct,IDCW
0P00015ESV.BO,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,UTI Mutual Fund,Direct,IDCW
0P00011WHP.BO,UTI Banking & PSU Fund - Direct Plan - Growth Option,UTI Mutual Fund,Direct,Growth
0P0001AG9U.BO,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,UTI Mutual Fund,Direct,IDCW
0P00017AU9.BO,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,UTI Mutual Fund,Direct,IDCW
0P00011WHN.BO,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,UTI Mutual Fund,Direct,IDCW
0P0001965H.BO,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,UTI Mutual Fund,Regular,IDCW
0P00018JEE.BO,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,UTI Mutual Fund,Regular,IDCW
0P000184G2.BO,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,UTI Mutual Fund,Regular,IDCW
0P00015FZN.BO,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,UTI Mutual Fund,Regular,IDCW
0P00011WHO.BO,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,UTI Mutual Fund,Regular,IDCW
0P00011WHQ.BO,UTI Banking & PSU Fund- Regular Plan - Growth Option,UTI Mutual Fund,Regular,Growth
0P0000XVXX.BO,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Direct,Growth
0P00005V68.BO,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Regular,Growth
0P0000ZO13.BO,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
0P0000XVXY.BO,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Direct,IDCW
0P0000ZRGD.BO,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
0P00005V6A.BO,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,Aditya Birla Sun Life Mutual Fund,Regular,IDCW
0P0001ANS6.BO,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,Axis Mutual Fund,Direct,IDCW
0P0001ANS8.BO,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,Axis Mutual Fund,Direct,IDCW
0P0001ANS9.BO,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,Axis Mutual Fund,Regular,IDCW
0P0001ANS7.BO,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,Axis Mutual Fund,Direct,IDCW
0P0001ANS4.BO,Axis Corporate Bond Fund - Direct Plan Growth,Axis Mutual Fund,Direct,Growth
0P0001ANRY.BO,Axis Corporate Bond Fund - Regular Plan - Daily IDCW,Axis Mutual Fund,Regular,IDCW
0P0001ANS1.BO,Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,Axis Mutual Fund,Regular,IDCW
0P0001ANS2.BO,Axis Corporate Bond Fund - Regular Plan - Regular IDCW,Axis Mutual Fund,Regular,IDCW
0P0001ANS0.BO,Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,Axis Mutual Fund,Regular,IDCW
0P0001ANRV.BO,Axis Corporate Bond Fund - Regular Plan Growth,Axis Mutual Fund,Regular,Growth
0P00018DD7.BO,BANDHAN Corporate Bond Fund - Direct Annual IDCW,Bandhan Mutual Fund,Direct,IDCW
0P00017AYV.BO,BANDHAN Corporate Bond Fund - Direct Growth,Bandhan Mutual Fund,Direct,Growth
0P0001HG59.BO,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P0001839G.BO,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P00017AYW.BO,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,Bandhan Mutual Fund,Direct,IDCW
0P00017TOY.BO,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,Bandhan Mutual Fund,Direct,IDCW
0P0001AGI2.BO,BANDHAN Corporate Bond Fund - Regular Annual IDCW,Bandhan Mutual Fund,Regular,IDCW
0P00017AYT.BO,BANDHAN Corporate Bond Fund - Regular Growth,Bandhan Mutual Fund,Regular,Growth
0P00017T7M.BO,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P00017XDY.BO,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P00017AYU.BO,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,Bandhan Mutual Fund,Regular,IDCW
0P00017TOX.BO,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,Bandhan Mutual Fund,Regular,IDCW
0P0000JXG2.BO,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,Unknown,Unknown,Unknown
0P0000IUIA.BO,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,Unknown,Unknown,Growth
0P0000JWVH.BO,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,Unknown,Unknown,Unknown
0P0000JXFZ.BO,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,Unknown,Unknown,Unknown
